,student_name,student_id,major,period,grade,passed_subject,get_subject
24,조성연,2017147708,기계공학과,8,4,"['ENV171-02', 'CPE301-16', 'GED1363-G00', 'CPE201-12', 'GED1437-G00', 'APCH2202-00', 'GED1631-G00', 'EE201-03', 'AR351-00', 'TK308-01', 'GED1947-G00', 'GI303-01', 'CE273-00', 'KO3106-00', 'ESP207-00', 'GEC1104-G15', 'CA1006-01', 'CPE201-09', 'GED1419-G01', 'ME477-01']","[['GED1663-G00', '15:00', '17:45'], ['GEC1102-G53', '16:30', '17:45'], ['GED1717-G02', '10:30', '11:45'], ['GEC1104-G00', '9:00', '11:45'], ['GEC1403-G10', '13:30', '14:45']]"
25,장루다,2011168237,기계공학과,5,3,"['ME479-01', 'GED1663-G00', 'APHY3201-00', 'AE352-00', 'EDU2107-G00', 'GED1235-G00', 'ESP203-00', 'ME251-04', 'ME275-02', 'FR2011-01', 'GEC1102-G20', 'SC303-01', 'CE474-00', 'EE201-02', 'EE207-00']","[['GED1541-G00', '15:00', '16:15'], ['GED1502-G00', '9:00', '11:45'], ['GEC1102-G54', '16:30', '17:45'], ['GEC1102-G10', '10:30', '11:45']]"
26,한채원,2021524959,기계공학과,1,1,"['CHE351-02', 'CHE456-00', 'TK307-01', 'AMTH1002-13', 'GED1223-G00', 'NE202-00']","[['GEC1104-G07', '15:00', '17:45'], ['GEB1102-G03', '13:30', '14:45'], ['GEC1102-G00', '9:00', '11:45'], ['GEE1958-G00', '9:00', '10:15'], ['GEC2001-G25', '12:00', '13:15']]"
27,조다정,2019184662,기계공학과,6,3,"['ME252-02', 'SC308-02', 'APHY1002-26', 'SWCON103-00', 'GED1665-G00', 'IS3001-01', 'CHE132-02', 'GED1951-G00', 'SM2011-00', 'NE413-00', 'FR2013-00', 'FT4057-00', 'FR3034-00', 'APCH1121-07', 'VID3009-00', 'RU2101-00', 'CPE301-03', 'AE473-03']","[['GEC1403-G23', '13:30', '14:45'], ['GEC1105-G05', '10:30', '11:45'], ['GEC2001-G07', '12:00', '13:15'], ['GEE1332-G05', '10:30', '11:20'], ['GEC1104-G27', '9:00', '11:45'], ['GED1650-G00', '10:30', '11:45']]"
28,박우재,2021212649,기계공학과,2,1,"['EE497-00', 'AMTH1002-17', 'AR411-04', 'AE202-00']","[['GED1358-G00', '12:00', '14:45'], ['GED1991-G00', '15:00', '16:15'], ['EDU4104-G00', '13:30', '15:20'], ['GEC1403-G04', '10:30', '11:45'], ['GEC1104-G41', '12:00', '14:45'], ['GED1820-G00', '12:00', '14:45']]"
29,조이현,2021359439,기계공학과,1,1,"['GEC2001-G24', 'GEC1403-G25', 'CPE201-01', 'GEC1102-G17']","[['GEC2001-G11', '13:30', '14:45'], ['GEC1102-G47', '13:30', '14:45'], ['GED1947-G01', '13:30', '16:15'], ['GEB1202-G05', '12:00', '13:15']]"
30,최나라,2015851059,기계공학과,7,4,"['AMIE394-04', 'EDU3105-G00', 'GEC0103-G00', 'CSE324-00', 'CSE302-01', 'GEC0103-G06', 'GEE1648-G01', 'RU4102-00', 'CPE101-04', 'AT301-00', 'BME416-00', 'APCH1101-02', 'GEC1105-G36', 'FSB281-00', 'CHE232-01', 'PE308-01', 'GEC1102-G07', 'AMTH2010-00', 'SWCON201-00', 'ELC337-00']","[['GEE1605-G00', '13:00', '14:50'], ['GEC1105-G10', '12:00', '13:15'], ['GED1819-G00', '9:00', '11:45'], ['GEE1960-G00', '9:00', '10:15']]"
31,한인준,2015555864,기계공학과,3,2,"['SWCON401-00', 'CPE401-08', 'BME412-05', 'GED1502-G01', 'GEC1104-G27', 'CHI105-00', 'PM2018-01', 'FSB441-00', 'CSE304-02', 'AR111-04']","[['GEE1344-G02', '9:00', '11:45'], ['GEC1403-G13', '16:30', '17:45'], ['GEB1301-G01', '12:00', '14:45'], ['GEC1102-G48', '13:30', '14:45'], ['GEC1102-G24', '15:00', '16:15']]"
32,최노아,2012660769,기계공학과,3,2,"['GEC1102-G01', 'IE203-00', 'ELC104-01', 'ME202-04', 'ELC359-00', 'SC209-01', 'AMIE396-03', 'GEC1102-G53', 'PE307-01', 'GEC1105-G51', 'AE211-00', 'GEC1104-G44']","[['GEE1633-G00', '10:30', '12:20'], ['GEC1105-G42', '9:00', '11:45'], ['GEE1960-G01', '9:00', '10:15'], ['GEC0103-G07', '15:00', '16:15'], ['GED1432-G01', '16:30', '17:45'], ['GED1539-G00', '9:00', '10:15']]"
33,서성민,2012566455,기계공학과,6,3,"['TC208-00', 'GEC1104-G07', 'IS1003-01', 'EDU2101-G00', 'FT4077-00', 'GEC1403-G22', 'APCH2202-00', 'GEC1102-G09', 'GEC1105-G38', 'APHY2104-00', 'CDG3278-00', 'AMIE220-01']","[['GEE1127-G02', '18:00', '20:25'], ['GEB1102-G02', '10:30', '11:45'], ['GEC1104-G26', '15:00', '17:45'], ['GEC1105-G21', '10:30', '11:45'], ['GED1951-G00', '9:00', '11:45'], ['GEC1403-G38', '18:00', '20:25']]"
34,정현빈,2019133865,기계공학과,3,2,"['EE203-00', 'APCH4204-00', 'SPACE203-00', 'PE211-01', 'GEC1105-G10', 'ESP334-00', 'CSE204-01', 'EE209-03']","[['GED1349-G00', '12:00', '13:15'], ['GEC2001-G08', '13:30', '14:45'], ['GEC2001-G14', '15:00', '16:15'], ['GEC0103-G08', '12:00', '13:15']]"
35,김태웅,2021239298,기계공학과,1,1,"['GEC1105-G29', 'APCH3403-00', 'GED1223-G00', 'ID3013-00', 'GEE1960-G00']","[['GEE1961-G01', '10:30', '11:45'], ['GEE1332-G00', '12:00', '12:50'], ['GEC1403-G05', '10:30', '11:45'], ['GEC1104-G34', '12:00', '14:45'], ['GEE1959-G00', '10:30', '11:45']]"
36,김하라,2017623313,기계공학과,4,2,"['PM4025-02', 'GEC1102-G06', 'APHY2102-00', 'GEB1102-G08', 'CHE332-02', 'HBT314-00', 'ESP213-00', 'AR311-02', 'IS2204-00', 'GEE1958-G00']","[['GEE1960-G00', '9:00', '10:15'], ['GEC1102-G34', '10:30', '11:45'], ['GEE1332-G02', '13:30', '14:20'], ['GEE1332-G02', '13:30', '14:20']]"
37,조이솔,2011688851,기계공학과,8,4,"['AMTH3029-00', 'FD101-05', 'IS2002-00', 'APHY3100-00', 'GEC1105-G00', 'GEC0103-G06', 'SPACE322-00', 'ID4019-00', 'ID4014-01', 'EE368-02', 'GEB1102-G03', 'GI303-01', 'FSB351-02', 'GEE1670-G00', 'GED1113-G00', 'OMB216-00', 'CDG3262-00', 'PM4025-14', 'SPACE203-00', 'PM4021-00']","[['GEB1102-G03', '13:30', '14:45'], ['IPE102-00', '15:00', '17:45'], ['GED1108-G00', '16:30', '17:45'], ['GED1861-G00', '12:00', '13:15'], ['GEC1105-G19', '9:00', '10:15']]"
38,김용준,2021036072,기계공학과,1,1,"['GEC2001-G03', 'GED1103-G00', 'CHE353-01', 'GED1628-G00', 'CSE201-02']","[['GEC1104-G41', '12:00', '14:45'], ['GEC2001-G25', '12:00', '13:15'], ['GEC1105-G07', '12:00', '13:15'], ['GED1135-G00', '18:00', '20:25'], ['GEC1102-G32', '9:00', '10:15']]"
39,윤희수,2021183842,기계공학과,1,1,"['FT1075-00', 'IS3516-00', 'TK308-02', 'GEE1665-G01', 'GEE1958-G01']","[['GEE1608-G00', '12:00', '13:50'], ['GED1909-G00', '15:00', '16:15'], ['EDU4104-G00', '13:30', '15:20'], ['GEC1102-G04', '12:00', '14:45'], ['GED1873-G00', '10:30', '11:45'], ['EDU2107-G00', '13:30', '15:20']]"
40,서승빈,2015940954,기계공학과,5,3,"['GEN204-00', 'APCH2101-01', 'BIO103-01', 'CPE201-11', 'RTG108-00', 'GEC1403-G05', 'GEC1105-G48', 'AMTH1004-00', 'CE476-00', 'CHI209-00', 'ME252-01', 'APHY3201-00', 'ENV315-00', 'GEC1105-G27', 'GED1660-G00', 'AMTH1004-04', 'DC404-00', 'SPACE471-00']","[['EDU3345-G00', '9:00', '11:45'], ['GED1959-G04', '15:00', '16:15'], ['GEC1102-G08', '10:30', '11:45'], ['GEC1105-G01', '9:00', '10:15']]"
41,박은정,2021080591,기계공학과,2,1,"['ENV379-00', 'GEC1102-G33', 'APHY1004-00', 'SPACE201-00', 'DC301-00']","[['IPE108-00', '9:00', '11:45'], ['GED1717-G01', '16:30', '17:45'], ['GEE1959-G01', '9:00', '11:45'], ['GEC1102-G02', '12:00', '14:45'], ['GED1502-G01', '15:00', '17:45']]"
42,임주한,2014672456,기계공학과,8,4,"['EE207-03', 'HBT310-00', 'ME312-02', 'GED1325-G00', 'PM1019-18', 'PM1016-01', 'GEC2001-G23', 'GED1353-G00', 'ID4015-01', 'APCH4501-00', 'NE202-00', 'GED1965-G00', 'AMTH1002-05', 'AMTH1009-00', 'APHY1002-25', 'PM2023-12']","[['GEC1102-G41', '12:00', '13:15'], ['GEC1104-G19', '9:00', '11:45'], ['GEC1102-G04', '12:00', '14:45'], ['GED1305-G00', '12:00', '14:45']]"
43,장지민,2016862110,기계공학과,8,4,"['CHE231-01', 'ME312-02', 'CPE401-03', 'HBT301-00', 'EE442-00', 'GEC1102-G06', 'FSB451-00', 'GEC2001-G08', 'AMTH1004-12', 'VID2019-00', 'CE202-02', 'GEC1403-G38', 'FT2069-00', 'AR211-01', 'AE211-00', 'CDG3278-00', 'SWCON367-00', 'CPE401-12', 'FT4072-00', 'FD111-05']","[['GEC1105-G11', '12:00', '13:15'], ['GED1861-G00', '12:00', '13:15'], ['GEC2001-G10', '13:30', '14:45'], ['GED1362-G00', '10:30', '11:45'], ['GEE1961-G01', '10:30', '11:45'], ['GEC1105-G10', '12:00', '13:15']]"
44,서아인,2021495534,기계공학과,1,1,"['FD105-00', 'CPE104-06', 'APHY1002-17', 'APHY4000-00']","[['GEC1403-G17', '10:30', '11:45'], ['GEE1668-G00', '10:30', '12:20'], ['GED1717-G02', '10:30', '11:45'], ['GEC1403-G23', '13:30', '14:45'], ['GED1240-G00', '10:30', '11:45']]"
45,서지웅,2021327806,기계공학과,1,1,"['FSB281-00', 'CPE201-13', 'GEC2001-G40', 'GED1202-G01', 'IS2508-00']","[['GEB1102-G06', '9:00', '10:15'], ['GEC1104-G29', '9:00', '11:45'], ['GED1202-G01', '10:30', '11:45'], ['EDU3105-G00', '13:30', '15:20'], ['GED1876-G00', '10:30', '11:45']]"
46,서가현,2015211492,기계공학과,6,3,"['GEN202-00', 'FD101-00', 'EDU2107-G01', 'GEC1102-G27', 'APCH4501-00', 'EE206-02', 'IE324-01', 'AR111-02', 'EE342-00', 'PM4025-02', 'GEB1202-G06', 'APCH1131-00']","[['GED1947-G01', '13:30', '16:15'], ['GED1208-G01', '12:00', '14:45'], ['GEC1102-G20', '13:30', '14:45'], ['GEC2001-G02', '10:30', '11:45'], ['GED1329-G00', '15:00', '16:15'], ['GEC1104-G20', '9:00', '11:45']]"
47,윤태호,2014400130,기계공학과,3,2,"['APCH1101-10', 'GEE1345-G01', 'CSE436-00', 'JP211-00', 'EE209-02', 'CSE224-00', 'EE212-00', 'AMTH1004-09']","[['GEC1105-G47', '12:00', '14:45'], ['GEE1127-G01', '18:00', '20:25'], ['GEC1403-G16', '9:00', '10:15'], ['EDU3106-G01', '11:00', '12:50'], ['GED1628-G00', '15:00', '16:15'], ['GEC1104-G38', '9:00', '11:45']]"
48,장하진,2019420274,기계공학과,4,2,"['IE308-00', 'GEC1102-G12', 'EE211-04', 'GEC1104-G09', 'TC202-01', 'CPE301-10', 'AR271-00', 'GED1945-G00']","[['GEC2001-G10', '13:30', '14:45'], ['GED1966-G00', '15:00', '16:15'], ['GED1502-G00', '9:00', '11:45'], ['GED1223-G01', '12:00', '14:45'], ['GEC1105-G50', '15:00', '17:45']]"
49,서연후,2018003950,기계공학과,3,2,"['SC209-01', 'FD110-02', 'CE476-00', 'FD101-02', 'TC202-00', 'APCH1131-01', 'GED1235-G00', 'FT3047-00', 'CHE431-05', 'BIO101-00']","[['GEC1102-G02', '12:00', '14:45'], ['GEC1102-G36', '10:30', '11:45'], ['GEE1644-G01', '15:00', '16:50'], ['GED1502-G00', '9:00', '11:45'], ['GEE1344-G00', '9:00', '11:45'], ['GEC1104-G28', '9:00', '11:45']]"
50,이성주,2017267831,기계공학과,7,4,"['GED1873-G00', 'GEC1403-G32', 'ME475-01', 'AMTH1009-01', 'APCH1101-05', 'APHY3400-00', 'GEC1105-G43', 'SWCON201-00', 'AMIE352-00', 'SC400-01', 'CA4001-00', 'EE207-03', 'ID2011-00', 'GEC0103-G00', 'ME252-01', 'APHY1100-02', 'ESP328-00', 'VID3009-01', 'AMIE361-00', 'GEC1403-G16']","[['GED1710-G00', '10:30', '11:45'], ['GEC1105-G43', '9:00', '11:45'], ['GED1508-G00', '13:30', '14:45'], ['GED1734-G00', '13:30', '16:15'], ['GEC2001-G21', '10:30', '11:45'], ['GED1508-G00', '13:30', '14:45']]"
51,정태윤,2015364509,기계공학과,4,2,"['CHE332-02', 'AMTH1009-11', 'GEC1104-G10', 'IS2506-00', 'FD103-01', 'PM4025-15', 'GEN203-00', 'HBT314-00', 'EDU4103-G00', 'EE209-05']","[['GEC1403-G14', '16:30', '17:45'], ['GEC1105-G43', '9:00', '11:45'], ['GEE1633-G01', '10:30', '12:20'], ['GED1208-G01', '12:00', '14:45'], ['GEC1104-G11', '12:00', '14:45'], ['GED1873-G00', '10:30', '11:45']]"
52,조선호,2021700876,기계공학과,1,1,"['CHE477-00', 'FT2011-00', 'LA210-01', 'JP272-00', 'PM2023-00']","[['GEE1668-G00', '10:30', '12:20'], ['GEE1332-G00', '12:00', '12:50'], ['GEE1669-G00', '10:00', '11:50'], ['GED1467-G00', '10:30', '11:45'], ['GED1502-G01', '15:00', '17:45']]"
53,정재인,2021681961,기계공학과,2,1,"['APHY4200-00', 'ELC104-01', 'KO3102-00', 'KO4201-00', 'GEB1202-G04']","[['GEC1105-G37', '15:00', '16:15'], ['GEC1104-G37', '15:00', '17:45'], ['GEC1105-G37', '15:00', '16:15'], ['GEC1102-G47', '13:30', '14:45']]"
54,최수빈,2018017171,기계공학과,5,3,"['CHE431-04', 'JP271-00', 'CE377-02', 'CE378-01', 'AR491-00', 'GEC2001-G39', 'GEC1104-G16', 'EE206-00', 'GED1212-G00', 'GED1945-G00', 'GED1861-G00', 'GEC1104-G11']","[['GEC1403-G11', '15:00', '16:15'], ['GEC1104-G34', '12:00', '14:45'], ['GEC1403-G16', '9:00', '10:15'], ['GEC1104-G18', '15:00', '17:45'], ['GED1509-G00', '15:00', '16:15'], ['GEC1104-G02', '12:00', '14:45']]"
55,정하윤,2021003286,기계공학과,2,1,"['GEC1403-G17', 'FT2075-00', 'EE206-01', 'GEC1105-G30', 'GEC1403-G28']","[['GED1113-G01', '15:00', '16:15'], ['GEC1105-G11', '12:00', '13:15'], ['GED1223-G00', '15:00', '16:15'], ['GEB1102-G07', '10:30', '11:45'], ['GEC1403-G37', '15:00', '17:45'], ['GEC1102-G21', '15:00', '16:15']]"
56,장하윤,2021464805,기계공학과,1,1,"['NE351-00', 'EDU3103-G00', 'GEC1105-G48', 'AMTH1004-08', 'GEN302-01']","[['GED1929-G00', '9:00', '11:45'], ['GED1664-G00', '15:00', '16:15'], ['GEC1104-G37', '15:00', '17:45'], ['EDU3104-G00', '13:30', '15:20']]"
57,장연호,2011984285,기계공학과,3,2,"['GEC1105-G27', 'PM2015-00', 'GEC1105-G11', 'AMTH1009-00', 'CE301-01', 'DC207-00', 'SM2011-00', 'FSB304-00']","[['GED1362-G00', '10:30', '11:45'], ['GED1710-G00', '10:30', '11:45'], ['GED1657-G00', '15:00', '17:45'], ['GED1136-G00', '16:30', '17:45'], ['GEC1101-G02', '10:30', '11:45']]"
